OID_,FIRE_YEAR,FORESTNAME,GIS_ACRES,COUNT
1,2016,"Grand Mesa, Uncompahgre and Gunnison National Forests",11.718000411987305,1.000000000000000
2,2017,Arapaho and Roosevelt National Forests,170.498992919921875,1.000000000000000
3,2016,White River National Forest,22.652999877929688,1.000000000000000
4,2017,White River National Forest,976.127990722656250,1.000000000000000
5,2019,Arapaho and Roosevelt National Forests,1028.243041992187500,1.000000000000000
6,2018,San Juan National Forest,20.457000732421875,1.000000000000000
7,2018,White River National Forest,12588.660156250000000,1.000000000000000
8,2020,Arapaho and Roosevelt National Forests,434.954986572265625,1.000000000000000
9,2016,White River National Forest,4754.933105468750000,1.000000000000000
10,2020,San Juan National Forest,597.526977539062500,1.000000000000000
11,2016,"Grand Mesa, Uncompahgre and Gunnison National Forests",380.950012207031250,1.000000000000000
12,2017,Arapaho and Roosevelt National Forests,25.910999298095703,1.000000000000000
13,2019,Pike and San Isabel National Forests,0.000000000000000,1.000000000000000
14,2018,White River National Forest,3.931999921798706,1.000000000000000
15,2018,White River National Forest,29.759000778198242,1.000000000000000
16,2018,Arapaho and Roosevelt National Forests,96.764999389648438,1.000000000000000
17,2016,San Juan National Forest,364.412994384765625,1.000000000000000
18,2020,"Grand Mesa, Uncompahgre and Gunnison National Forests",105.454002380371094,1.000000000000000
19,2016,Arapaho and Roosevelt National Forests,563.596984863281250,1.000000000000000
20,2018,Medicine Bow-Routt National Forest,43.500000000000000,2.000000000000000
21,2018,Medicine Bow-Routt National Forest,28585.429687500000000,1.000000000000000
22,2016,"Grand Mesa, Uncompahgre and Gunnison National Forests",49.985000610351562,1.000000000000000
23,2019,Pike and San Isabel National Forests,11.937000274658203,1.000000000000000
24,2020,Medicine Bow-Routt National Forest,20427.570312500000000,1.000000000000000
25,2018,White River National Forest,29.169000625610352,1.000000000000000
26,2019,Arapaho and Roosevelt National Forests,19.795000076293945,1.000000000000000
27,2017,Pike and San Isabel National Forests,307.855010986328125,1.000000000000000
28,2019,San Juan National Forest,2559.523925781250000,1.000000000000000
29,2017,"Grand Mesa, Uncompahgre and Gunnison National Forests",12.854999542236328,1.000000000000000
30,2020,Manti-La Sal National Forest,220.923004150390625,1.000000000000000
31,2020,Arapaho and Roosevelt National Forests,208760.406250000000000,1.000000000000000
32,2017,"Grand Mesa, Uncompahgre and Gunnison National Forests",1.322999954223633,1.000000000000000
33,2019,San Juan National Forest,330.035003662109375,1.000000000000000
34,2019,Arapaho and Roosevelt National Forests,856.916015625000000,1.000000000000000
35,2018,Medicine Bow-Routt National Forest,20055.199218750000000,1.000000000000000
36,2016,Pike and San Isabel National Forests,10.329999923706055,1.000000000000000
37,2020,Pike and San Isabel National Forests,28.853000640869141,1.000000000000000
38,2020,Arapaho and Roosevelt National Forests,17.413000106811523,1.000000000000000
39,2019,Arapaho and Roosevelt National Forests,1.296000003814697,1.000000000000000
40,2019,"Grand Mesa, Uncompahgre and Gunnison National Forests",859.067993164062500,1.000000000000000
41,2017,Arapaho and Roosevelt National Forests,141.244995117187500,1.000000000000000
42,2020,Pike and San Isabel National Forests,516.614990234375000,1.000000000000000
43,2017,San Juan National Forest,1019.905029296875000,1.000000000000000
44,2020,Pike and San Isabel National Forests,156.863998413085938,1.000000000000000
45,2019,Pike and San Isabel National Forests,1686.338012695312500,1.000000000000000
46,2017,Arapaho and Roosevelt National Forests,21.083000183105469,1.000000000000000
47,2018,Medicine Bow-Routt National Forest,28243.800781250000000,1.000000000000000
48,2016,Pike and San Isabel National Forests,261.256988525390625,1.000000000000000
49,2018,San Juan National Forest,735.776977539062500,1.000000000000000
50,2018,Manti-La Sal National Forest,11.618000030517578,1.000000000000000
51,2016,White River National Forest,344.201995849609375,1.000000000000000
52,2020,Pike and San Isabel National Forests,9.036000251770020,1.000000000000000
53,2017,San Juan National Forest,664.007995605468750,1.000000000000000
54,2016,,16557.449218750000000,1.000000000000000
55,2020,Arapaho and Roosevelt National Forests,427.450988769531250,1.000000000000000
56,2018,"Grand Mesa, Uncompahgre and Gunnison National Forests",30.555999755859375,1.000000000000000
57,2019,San Juan National Forest,89.313003540039062,1.000000000000000
58,2017,San Juan National Forest,12.456000328063965,1.000000000000000
59,2016,"Grand Mesa, Uncompahgre and Gunnison National Forests",1488.650024414062500,1.000000000000000
60,2019,White River National Forest,1217.874023437500000,1.000000000000000
61,2018,Pike and San Isabel National Forests,70.268997192382812,1.000000000000000
62,2019,Pike and San Isabel National Forests,14.673000335693359,1.000000000000000
63,2016,Medicine Bow-Routt National Forest,37641.000000000000000,1.000000000000000
64,2020,Pike and San Isabel National Forests,926.906005859375000,1.000000000000000
65,2017,Pike and San Isabel National Forests,40.048999786376953,1.000000000000000
66,2016,"Grand Mesa, Uncompahgre and Gunnison National Forests",16.743999481201172,1.000000000000000
67,2016,Arapaho and Roosevelt National Forests,169.895996093750000,1.000000000000000
68,2017,Medicine Bow-Routt National Forest,2930.230957031250000,1.000000000000000
69,2018,White River National Forest,6069.600097656250000,1.000000000000000
70,2018,San Juan National Forest,54130.980468750000000,1.000000000000000
71,2020,White River National Forest,3.684000015258789,1.000000000000000
72,2018,"Grand Mesa, Uncompahgre and Gunnison National Forests",509.191986083984375,1.000000000000000
73,2016,Pike and San Isabel National Forests,18746.630859375000000,1.000000000000000
74,2018,Rio Grande National Forest,59.905998229980469,1.000000000000000
75,2016,Arapaho and Roosevelt National Forests,50.837001800537109,1.000000000000000
76,2018,Pike and San Isabel National Forests,17.920000076293945,1.000000000000000
77,2019,Pike and San Isabel National Forests,17.966999053955078,1.000000000000000
78,2017,"Grand Mesa, Uncompahgre and Gunnison National Forests",511.131988525390625,1.000000000000000
79,2020,San Juan National Forest,41.938999176025391,1.000000000000000
80,2017,White River National Forest,84.544998168945312,1.000000000000000
81,2016,San Juan National Forest,2142.831054687500000,1.000000000000000
82,2016,Arapaho and Roosevelt National Forests,189.098007202148438,1.000000000000000
83,2017,White River National Forest,4.314000129699707,1.000000000000000
84,2018,White River National Forest,72.978996276855469,1.000000000000000
85,2017,Arapaho and Roosevelt National Forests,18.627000808715820,1.000000000000000
86,2020,Arapaho and Roosevelt National Forests,10105.980468750000000,1.000000000000000
87,2019,Arapaho and Roosevelt National Forests,15.814999580383301,1.000000000000000
88,2016,Arapaho and Roosevelt National Forests,523.739013671875000,1.000000000000000
89,2020,Pike and San Isabel National Forests,16.392999649047852,1.000000000000000
90,2019,Arapaho and Roosevelt National Forests,100.414001464843750,1.000000000000000
91,2017,White River National Forest,94.218002319335938,1.000000000000000
92,2020,Pike and San Isabel National Forests,0.000000000000000,2.000000000000000
93,2020,Rio Grande National Forest,73.079002380371094,1.000000000000000
94,2020,White River National Forest,28.639999389648438,1.000000000000000
95,2018,Medicine Bow-Routt National Forest,0.000000000000000,2.000000000000000
96,2018,Manti-La Sal National Forest,11.605799674987793,1.000000000000000
97,2016,Arapaho and Roosevelt National Forests,300.619995117187500,1.000000000000000
98,2016,Pike and San Isabel National Forests,13.796999931335449,1.000000000000000
99,2018,San Juan National Forest,19677.320312500000000,1.000000000000000
100,2018,Pike and San Isabel National Forests,70.180976867675781,1.000000000000000
101,2017,Arapaho and Roosevelt National Forests,30.281999588012695,1.000000000000000
102,2019,Pike and San Isabel National Forests,97.230003356933594,1.000000000000000
103,2018,White River National Forest,5.491000175476074,1.000000000000000
104,2019,"Grand Mesa, Uncompahgre and Gunnison National Forests",34.027999877929688,1.000000000000000
105,2020,Arapaho and Roosevelt National Forests,58.784000396728516,1.000000000000000
106,2018,Pike and San Isabel National Forests,108131.296875000000000,1.000000000000000
107,2016,Arapaho and Roosevelt National Forests,711.031982421875000,1.000000000000000
108,2017,San Juan National Forest,1420.489990234375000,1.000000000000000
109,2016,Pike and San Isabel National Forests,39.034999847412109,1.000000000000000
110,2016,Arapaho and Roosevelt National Forests,197.938995361328125,1.000000000000000
111,2016,,16568.900390625000000,1.000000000000000
112,2016,Medicine Bow-Routt National Forest,461.100006103515625,1.000000000000000
113,2017,Arapaho and Roosevelt National Forests,9.317999839782715,1.000000000000000
114,2018,Arapaho and Roosevelt National Forests,230.781005859375000,1.000000000000000
115,2018,Arapaho and Roosevelt National Forests,33.099998474121094,1.000000000000000
116,2020,Arapaho and Roosevelt National Forests,14.500000000000000,1.000000000000000
117,2016,Arapaho and Roosevelt National Forests,97.494003295898438,1.000000000000000
118,2016,Pike and San Isabel National Forests,11.432000160217285,1.000000000000000
119,2018,San Juan National Forest,4593.472167968750000,1.000000000000000
120,2018,Pike and San Isabel National Forests,13034.950195312500000,1.000000000000000
121,2018,White River National Forest,2703.312011718750000,1.000000000000000
122,2018,San Juan National Forest,41.508998870849609,1.000000000000000
123,2019,Pike and San Isabel National Forests,89.408996582031250,1.000000000000000
124,2020,Rio Grande National Forest,186.333999633789062,1.000000000000000
125,2018,"Grand Mesa, Uncompahgre and Gunnison National Forests",111.836997985839844,1.000000000000000
